Species Name ,Common Name,Temp,Body Mass,MSMR,Lifespan,Basal CC,Assay Method,Environment 
Aethia pusilla,Least Auklet,41,85,,8.1,6.5,RIA,Field
Amazona ventralis,Hispaniolan Amazon,,239,,,19.8,RIA,Captive
Anas platyrhynchos,Mallard,41.25,2709,3.99,29.1,11.8,RIA,Captive
Aphelocoma coerulescens,Florida Scrub-Jay,,76,,15,3,RIA,Field
Aphrastura spinicauda,Thorn-tailed Rayadito,,12,,,8,RIA,Field
Asio otus,Long-eared Owl,40.1,262,3.79,27.8,7.3,RIA,Field
Calcarius lapponicus,Lapland Longspur,41.7,27,,6,11,RIA,Field
Calcarius ornatus,Chestnut-collared Longspur,,19,,,5.5,RIA,Field
Calcarius pictus,Smith's Longspur,,27,,5,8.2,RIA,Field
Calidris canutus,Red Knot,40.1,135,,27.3,10,RIA,Field
Calidris melanotos,Pectoral Sandpiper,41.7,81,,,10.1,RIA,Field
Calidris pusilla,Semipalmated Sandpiper,,26,,19.3,21.6,RIA,Field
Carduelis flammea,Common Redpoll,,13,20.63,12.2,10.5,RIA,Field
Columba livia,Rock Pigeon,41,300,5.33,12.6,2.9,RIA,Field
Cuculus canorus,Common Cuckoo,,102,8.22,12.9,6.1,EIA,Field
Cuculus poliocephalus,Lesser Cuckoo,,56,,,6.8,EIA,Field
Daption capense,Cape Petrel,40.6,472,,25,1.5,RIA,Field
Diomedea exulans,Wandering Albatross,39.6,7650,2.26,50,6.2,RIA,Field
Diomedea melanophris,Black-browed Albatross,,3564,,43.7,0.5,RIA,Field
Empidonax oberholseri,Dusky Flycatcher,,21,,9,29.1,RIA,Field
Eudyptes chrysocome,Southern Rockhopper Penguin,,2500,,,5.8,RIA,Field
Ficedula hypoleuca,European Pied Flycatcher,40.4,12,19.33,15,24.9,RIA,Field
Gallus domesticus,Domestic Chicken,,2580,2.22,,1.2,EIA,Captive
Grus canadensis,Sandhill Crane,40.8,5000,2.07,36.6,1.9,RIA,Field
